index,timestep,sample
0,0.0,-1.3233848
1,0.01010101,-1.3233848
2,0.02020202,-1.3233848
3,0.030303031,-1.3233848
4,0.04040404,-1.3233848
5,0.05050505,-1.3233848
6,0.060606062,-1.3233848
7,0.07070707,-1.3233848
8,0.08080808,-1.3233848
9,0.09090909,-1.3233848
10,0.1010101,-1.3233848
11,0.11111111,-1.3233848
12,0.121212125,-1.3233848
13,0.13131313,-1.3233848
14,0.14141414,-1.3233848
15,0.15151516,-1.3233848
16,0.16161616,-1.3233848
17,0.17171717,-1.3233848
18,0.18181819,-1.3233848
19,0.1919192,-1.3233848
20,0.2020202,-1.3233848
21,0.21212122,-1.3233848
22,0.22222222,-1.3233848
23,0.23232323,-1.3233848
24,0.24242425,-1.3233848
25,0.25252524,-1.3233848
26,0.26262626,-1.3233848
27,0.27272728,-1.3233848
28,0.28282827,-1.3233848
29,0.2929293,-1.3233848
30,0.3030303,-1.3233848
31,0.3131313,-1.3233848
32,0.32323232,-1.3233848
33,0.33333334,-1.3233848
34,0.34343433,-1.3233848
35,0.35353535,-1.3233848
36,0.36363637,-1.3233848
37,0.37373737,-1.3233848
38,0.3838384,-1.3233848
39,0.3939394,-1.3233848
40,0.4040404,-1.3233848
41,0.41414142,-1.3233848
42,0.42424244,-1.3233848
43,0.43434343,-1.3233848
44,0.44444445,-1.3233848
45,0.45454547,-1.3233848
46,0.46464646,-1.3233848
47,0.47474748,-1.3233848
48,0.4848485,-1.3233848
49,0.4949495,-1.3233848
50,0.5050505,-1.3233848
51,0.5151515,-1.3233848
52,0.5252525,-1.3233848
53,0.53535354,-1.3233848
54,0.54545456,-1.3233848
55,0.5555556,-1.3233848
56,0.56565654,-1.3233848
57,0.57575756,-1.3233848
58,0.5858586,-1.3233848
59,0.5959596,-1.3233848
60,0.6060606,-1.3233848
61,0.61616164,-1.3233848
62,0.6262626,-1.3233848
63,0.6363636,-1.3233848
64,0.64646465,-1.3233848
65,0.65656567,-1.3233848
66,0.6666667,-1.3233848
67,0.6767677,-1.3233848
68,0.68686867,-1.3233848
69,0.6969697,-1.3233848
70,0.7070707,-1.3233848
71,0.7171717,-1.3233848
72,0.72727275,-1.3233848
73,0.7373737,-1.3233848
74,0.74747473,-1.3233848
75,0.75757575,-1.3233848
76,0.7676768,-1.3233848
77,0.7777778,-1.3233848
78,0.7878788,-1.3233848
79,0.7979798,-1.3233848
80,0.8080808,-1.3233848
81,0.8181818,-1.3233848
82,0.82828283,-1.3233848
83,0.83838385,-1.3233848
84,0.8484849,-1.3233848
85,0.85858583,-1.3233848
86,0.86868685,-1.3233848
87,0.8787879,-1.3233848
88,0.8888889,-1.3233848
89,0.8989899,-1.3233848
90,0.90909094,-1.3233848
91,0.9191919,-1.3233848
92,0.9292929,-1.3233848
93,0.93939394,-1.3233848
94,0.94949496,-1.3233848
95,0.959596,-1.3233848
96,0.969697,-1.3233848
97,0.97979796,-1.3233848
98,0.989899,-1.3233848
99,1.0,-1.3233848
