index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.001,-0.031656228,0.010296807,-0.027109414,0.61223793,-1.4536413e-05
2,0.026615383,-0.085578114,0.026109353,-0.09771878,1.5191083,-0.00021297256
3,0.052230768,-0.12806247,-0.010468766,-0.14612503,1.8220272,-0.00021295938
4,0.077846155,-0.26410943,0.0016407967,-0.22743753,3.1630564,-0.00037223008
5,0.10346154,-0.2660625,0.0032968372,-0.26003128,2.984712,-0.00064279174
6,0.12907693,-0.36110944,-0.030640587,-0.281875,3.2764065,-0.0011702608
7,0.1546923,-0.44457808,0.033328146,-0.42468745,4.0347257,-0.0028043948
8,0.18030769,-0.4421093,0.1415626,-0.53300005,4.1487994,-0.0055484995
9,0.20592308,-0.58437496,0.18474996,-0.86868757,5.353394,-0.0085974
10,0.23153846,-0.756,0.4269219,-1.1057031,6.401451,-0.014340413
11,0.25715384,-0.91728115,0.4911406,-1.3175626,6.992346,-0.023151439
12,0.28276923,-0.9531094,0.5577502,-1.8785782,7.567487,-0.033985678
13,0.30838463,-1.293375,0.30384386,-2.0566561,8.161382,-0.047073297
14,0.334,-1.4918282,0.15264061,-2.1192968,8.271579,-0.0626654
15,0.3596154,-1.6028283,0.28759378,-2.4206407,8.43675,-0.08240658
16,0.38523078,-1.6612812,0.92829686,-2.469297,8.285937,-0.103018254
17,0.41084614,-1.4990625,0.50795317,-2.6674843,7.793868,-0.12879792
18,0.43646154,-1.9686093,1.0827501,-3.2302496,8.398603,-0.15172547
19,0.46207693,-1.947375,1.789922,-3.5694842,8.311758,-0.16994506
20,0.4876923,-2.7808437,2.8287504,-3.8843749,9.049391,-0.19397978
21,0.5133077,-3.2353594,4.1448755,-3.9739995,9.5143795,-0.21204686
22,0.5389231,-3.6216252,3.779484,-3.9133444,9.075513,-0.28070146
23,0.5645385,-3.814109,4.80764,-4.088672,9.251515,-0.35785678
24,0.5901538,-4.7992344,4.9479365,-4.1626406,9.297831,-0.4290798
25,0.6157692,-4.8486404,5.5165777,-4.8504524,9.159471,-0.5139936
26,0.6413846,-5.6782665,7.0513444,-5.8386555,9.49692,-0.60369253
27,0.667,-9.017842,8.448546,-7.938563,10.456832,-0.6816823
28,0.6926154,-9.3785305,10.631594,-9.177688,10.819986,-0.58479804
29,0.7182308,-8.689281,10.731937,-10.570453,10.515912,-0.56804085
30,0.7438462,-10.861109,13.7507515,-9.456486,10.990581,-0.5783143
31,0.7694615,-14.526141,12.055578,-7.9738746,10.964936,-0.60257095
32,0.7950769,-21.860062,13.297893,-5.9712815,11.835341,-0.6073475
33,0.8206923,-28.375282,15.014173,-8.592564,12.496574,-0.6023574
34,0.8463077,-30.921106,16.170109,-4.3465157,12.510208,-0.5961576
35,0.8719231,-18.364187,22.68489,-0.40367174,11.456963,-0.6013047
36,0.8975385,-28.45995,18.091314,-0.4814375,11.62633,-0.6141349
37,0.9231538,-23.642172,17.068748,-0.10203123,10.96033,-0.597521
38,0.9487692,-36.22566,6.474531,2.6547813,11.360298,-0.5476432
39,0.9743846,-45.06017,1.6387501,-6.926282,11.538017,-0.5295272
40,1.0,-43.51635,1.5925469,-1.5337343,11.132024,-0.5672419
